Unnamed: 0,stop_id,stop_name,stop_lat,stop_lon,clust,geometry
1474,2439,AV.ABRANTES-ALFONSO MARTINEZ CONDE,40.38076937438965,-3.728193121471405,1170,POINT (-3.7283341884613 40.3807334899902)
1476,2441,AV.ABRANTES-CARRERO JUAN RAMON,40.3795687640381,-3.72995705307007,1173,POINT (-3.73004198074341 40.3795967102051)
1478,2443,AV.ABRANTES-PZA.LAS MENINAS,40.377273715820316,-3.732865455741882,1315,POINT (-3.73275017738342 40.377311706543)
1480,3182,AV.POBLADOS-AV.ABRANTES,40.373850758667,-3.7354571944046024,1302,POINT (-3.73552918434143 40.3739585876465)
1484,2452,AV.POBLADOS-ALISEDA,40.37384076721191,-3.740147590827942,1309,POINT (-3.74160242080688 40.3734970092773)
1489,355,JOAQUIN TURINA-POLVORANCA,40.371956130676274,-3.7546018819618228,1284,POINT (-3.75467228889465 40.3719711303711)
1491,357,JOAQUIN TURINA-NAVALMORALES,40.372173071594226,-3.7588920685958853,1281,POINT (-3.75863242149353 40.3721885681152)
1493,3817,JOAQUIN TURINA-JACOBEO,40.37272414672852,-3.7626290494155876,1233,POINT (-3.76267957687378 40.3727836608887)
1495,668,PºEXTREMADURA-CUATRO VIENTOS,40.3802210402235,-3.79017547095985,437,POINT (-3.7900509419197 40.380132080447)
1498,2326,Pº EXTREMADURA-CAMPAMENTO,40.39548198994382,-3.7683415609406286,1125,POINT (-3.76841989361963 40.3965209976837)
1547,881,Pº EXTREMADURA Nº 190,40.4078925305176,-3.7447713363266,1181,POINT (-3.7447726726532 40.4078750610352)
1548,2306,Pº EXTREMADURA-BATAN,40.40511008300783,-3.751501296195985,1196,POINT (-3.75136518478394 40.4050903320313)
1550,2325,AV.POBLADOS-EMPALME,40.39111492375671,-3.767570632402865,1120,POINT (-3.76821697254964 40.3911079670851)
1552,900,Pº EXTREMADURA-AV.AVIACION,40.38626891253345,-3.781709038170595,1245,POINT (-3.78169807634119 40.3861978250669)
1553,910,Pº EXTREMADURA-FUENTE DE LIMA,40.38413332388505,-3.783963166873755,1243,POINT (-3.78393633374751 40.3841466477701)
1557,4301,MAQUEDA-TEMBLEQUE,40.39201137530945,-3.76348980588206,1136,POINT (-3.76354961176412 40.3920127506189)
1558,17643,RAFAEL BOTÍ-AV.NAVACERRADA,40.46300686884643,-3.80358869646125,68,POINT (-3.80359343531887 40.4629205990977)
1560,par_8_17647,PEÑALARA DE ARAVACA Nº7,40.4611429742268,-3.80141385181765,69,POINT (-3.80141385181765 40.4611429742268)
1563,1329,PºRUPERTO CHAPÍ-MONCLOA,40.4345616695334,-3.7189430148612588,1850,POINT (-3.72082825269663 40.4352685969888)
1569,2409,AV.VALLADOLID-PTE.FRANCESES,40.43145137924963,-3.7319212282286895,1527,POINT (-3.73195368468607 40.4316041377489)
1570,2411,AV.VALLADOLID-PTE.FRANCESES,40.433832292989784,-3.733558215122205,1528,POINT (-3.73348929073323 40.4329637579387)
1571,3448,AV.SENECA-MARTIN FIERRO,40.4350508200824,-3.7304674398861852,1526,POINT (-3.73050487977237 40.4349916401648)
1572,3449,AVENIDA DE LA MEMORIA,40.437018837562746,-3.7239905268451947,757,POINT (-3.72397105369039 40.4369876751255)
1576,par_8_06315,CTRA.M605-EL TEJAR DE SOMONTES,40.4779120294322,-3.7512497954127,167,POINT (-3.7512497954127 40.4779120294322)
1577,par_8_06316,CTRA.M605-CLUB SOMONTES,40.488823722598454,-3.75439800963948,46,POINT (-3.75428758799542 40.488973088758)
1578,par_8_06317,CTRA.M605-PUENTE,40.5006276575507,-3.762950579712,15,POINT (-3.76252330932239 40.5004142675713)
1579,par_8_06318,CTRA.M605-PARQUE DE TRANSMISIONES,40.512929370138195,-3.770384636038835,7,POINT (-3.77029093601404 40.5129930562051)
1580,par_8_06319,CTRA.M605-CUARTEL DE TRANSMISIONES,40.516663890431545,-3.7730243219915,8,POINT (-3.77264852849924 40.5168330665512)
1581,par_8_06320,PºEL PARDO-PLAZA EL PARDO,40.520564820649255,-3.77770257835975,11,POINT (-3.77760349336145 40.5206735925854)
1582,par_8_06321,PºEL PARDO-CUARTEL DEL REY,40.522518148947896,-3.778604649298425,10,POINT (-3.77851005794223 40.5225052732281)
1583,par_8_06322,PºEL PARDO-CUARTEL PRÍNCIPE DE ASTURIAS,40.5291808409562,-3.78049995488915,13,POINT (-3.78051432103474 40.5294014580049)
1584,par_8_06323,CTRA.EL PARDO COLMENAR VIEJO-MINGORRUBIO,40.5322684255192,-3.782188761701045,12,POINT (-3.78216656370239 40.5323901936957)
1585,par_8_06324,CTRA.EL PARDO COLMENAR VIEJO-CEMENTERIO,40.5363971586956,-3.78510605706442,14,POINT (-3.78510605706442 40.5363971586956)
1590,par_8_06329,AV.GUARDIA-LAS MONJAS,40.5187147111762,-3.775515047798205,9,POINT (-3.77553564477794 40.5184533190057)
1595,par_8_06334,CTRA.M605-EL TEJAR DE SOMONTES,40.4793061486343,-3.75159567305183,168,POINT (-3.75159567305183 40.4793061486343)
1597,1330,CARDENAL CISNEROS,40.44003539658396,-3.726443292267534,756,POINT (-3.72580304587274 40.4395977760877)
1598,1332,AV.PUERTA DE HIERRO-AGRONOMOS,40.44114007385255,-3.72855877975464,755,POINT (-3.72853755950928 40.4411201477051)
1599,1333,AV.PUERTA DE HIERRO-AGRONOMOS,40.44170354675295,-3.73017675994873,754,POINT (-3.73012351989746 40.4416770935059)
1600,1334,AV.PUERTA DE HIERRO-PALACIO MONCLOA,40.44411625946045,-3.7321285812377925,481,POINT (-3.73187184333801 40.4441452026367)
1602,1336,AV.PUERTA DE HIERRO-FILOSOFIA B,40.4484232097671,-3.7359516498702523,753,POINT (-3.73592336507549 40.4485967282286)
1603,1338,FACULTAD DE VETERINARIA,40.44939685424805,-3.736876588516235,752,POINT (-3.73689317703247 40.4493637084961)
1604,1341,PARQUE DEPORTIVO PTA.DE HIERRO,40.45904441887735,-3.7452362233731975,2154,POINT (-3.74508517774907 40.459195524476)
