stop_id,multimodal_gini
F00787,0.1511
F00788,0.1485
F00789,0.1409
F00790,0.1343
F00791,0.1341
F00792,0.1494
F00793,0.1312
F00794,0.1297
F00795,0.1323
F00796,0.1323
F00797,0.1356
F00798,0.136
F00799,0.1355
F00800,0.1348
F00801,0.1347
F00803,0.1364
F00804,0.1357
F00805,0.1341
F00806,0.1343
F00808,0.1333
F00809,0.1343
F00810,0.1346
F00811,0.132
F00812,0.1083
F00813,0.1176
F00814,0.1354
F00815,0.141
F00816,0.1426
F00817,0.1213
F00818,0.1323
F00819,0.1255
F00820,0.1415
F00821,0.1364
F00822,0.1339
F00823,0.1308
F00826,0.1379
F00827,0.1313
F00828,0.1268
F00829,0.1299
F00830,0.1234
F00831,0.1279
F00832,0.1215
F00833,0.129
F00834,0.1339
F00835,0.1361
F00836,0.1455
F00837,0.1375
F00838,0.1492
F00840,0.1454
F00841,0.1401
F00842,0.1299
F00845,0.1627
F00846,0.1505
F00848,0.141
F00849,0.1583
F00850,0.156
F00851,0.1383
F00852,0.1294
F00853,0.1563
F00854,0.1308
F00855,0.1367
F00856,0.1631
F00859,0.1502
F00861,0.1345
F00862,0.1343
F00863,0.1379
F00864,0.1217
F00867,0.1536
F00868,0.1336
F00869,0.1439
F00870,0.1272
F00871,0.1507
F00872,0.1456
F00873,0.1781
F00874,0.1478
F00875,0.1692
F00876,0.1378
F00877,0.1271
F00878,0.1399
F00879,0.1213
F00880,0.156
F00881,0.1416
F00884,0.1613
F00885,0.1375
F00886,0.1491
F00887,0.1234
F00888,0.1402
F00889,0.1226
F00890,0.1305
F00891,0.1401
F00892,0.1228
F00893,0.1312
F00894,0.1464
F00895,0.1484
F00896,0.1315
F00899,0.1612
F00900,0.146
F00901,0.1517
F00904,0.1494
F00905,0.1377
F00906,0.1598
F00907,0.157
F00908,0.1555
F00909,0.1621
F00910,0.1343
F00916,0.1656
F00918,0.2332
F00919,0.2136
F00921,0.2171
F00922,0.2142
F00923,0.2244
F00924,0.2041
F00925,0.1684
F00926,0.1644
F00929,0.183
F00930,0.1702
F00931,0.1839
F00932,0.1387
F00933,0.1542
F00935,0.1631
F00938,0.1741
F00939,0.1664
F00940,0.1659
F00941,0.1678
F00942,0.1657
F00943,0.1778
F00944,0.1828
F00945,0.1815
F00950,0.194
F00951,0.2074
F00966,0.1891
F00967,0.2224
F00968,0.1704
F00969,0.1964
F00970,0.1764
F00971,0.1871
F00972,0.18
F00973,0.2039
F00974,0.2015
F00975,0.1923
F00976,0.2052
F00979,0.1761
F00980,0.1741
F00981,0.1948
F00982,0.1799
F00983,0.1949
F00985,0.1878
F00986,0.187
F00990,0.1969
F00991,0.18
F01000,0.2146
F01004,0.2038
F01005,0.2139
F01006,0.1996
F01007,0.2061
F01010,0.1956
F01011,0.211
F01012,0.2077
F01013,0.2018
F01014,0.2016
F01015,0.2018
F01016,0.203
F01017,0.2021
F01020,0.1808
F01021,0.1798
F01022,0.1801
F01023,0.1595
F01028,0.1682
F01029,0.1588
