stop_id,gini_walk15,gini_multimodal,arpu_low_ratio_walk15,arpu_low_ratio_multimodal
009520,0.180926,0.202578,0.407523,0.423621
009521,0.180977,0.204824,0.411260,0.434311
009522,0.178193,0.180501,0.399620,0.399421
009524,0.123655,0.122182,0.344108,0.380088
009534,0.120740,0.132641,0.210790,0.241068
009536,0.149102,0.136629,0.367805,0.355218
009537,0.248425,0.243792,0.449499,0.473533
009538,0.126942,0.125623,0.397502,0.421460
009539,0.131587,0.130706,0.389314,0.348632
009540,0.129418,0.201288,0.375206,0.400271
009541,0.121262,0.129095,0.347581,0.329100
009543,0.133983,0.128002,0.260157,0.245662
009544,0.115728,0.116118,0.222292,0.223423
009546,0.102783,0.131805,0.151450,0.242539
009548,0.112854,0.123499,0.116503,0.294993
009549,0.124069,0.130375,0.295821,0.297151
009550,0.124977,0.128988,0.295599,0.250607
009551,0.114118,0.117184,0.353485,0.338377
009554,0.142916,0.168452,0.391174,0.386084
009555,0.121512,0.134436,0.336445,0.400361
009558,0.201797,0.212501,0.426573,0.433172
009563,0.113706,0.120213,0.133750,0.291514
009564,0.109768,0.102478,0.130933,0.212685
009568,0.113037,0.114069,0.255065,0.299468
009569,0.120417,0.123427,0.362766,0.348641
009570,0.190960,0.192566,0.497002,0.474449
009572,0.114838,0.130688,0.220076,0.299054
009573,0.114695,0.114750,0.225266,0.233873
009574,0.112991,0.126596,0.208038,0.273410
009575,0.111078,0.129917,0.195552,0.323179
009576,0.110031,0.129505,0.211016,0.322203
009577,0.121244,0.126587,0.342321,0.343122
009578,0.120921,0.126573,0.347618,0.348643
009581,0.131638,0.196389,0.381740,0.390892
009582,0.123466,0.127588,0.442809,0.434930
009584,0.131682,0.129217,0.398095,0.349536
009587,0.229209,0.239419,0.461176,0.461406
009588,0.136588,0.139858,0.300598,0.372561
009592,0.162858,0.144414,0.475476,0.423607
009625,0.125901,0.142489,0.195802,0.189864
009652,0.121803,0.124069,0.409508,0.435928
009659,0.132072,0.120228,0.210335,0.316385
009667,0.193232,0.195009,0.498964,0.480127
009676,0.164593,0.228528,0.432979,0.453032
009684,0.119494,0.124774,0.300482,0.239889
009685,0.119512,0.122454,0.296977,0.261175
009691,0.174005,0.187409,0.414188,0.425704
009692,0.178432,0.186078,0.418400,0.427321
009693,0.191940,0.189497,0.387749,0.390101
009698,0.196498,0.215095,0.423615,0.418151
009699,0.194485,0.209268,0.422431,0.438622
009704,0.130883,0.125083,0.218940,0.246162
009705,0.132348,0.123542,0.223987,0.236111
009706,0.115221,0.124360,0.212644,0.255557
009707,0.130265,0.131924,0.215323,0.198869
009708,0.132229,0.130684,0.203345,0.191360
009715,0.122636,0.117626,0.472052,0.438111
009716,0.120186,0.118676,0.478060,0.422001
009717,0.122684,0.121100,0.469177,0.474789
009718,0.123619,0.120033,0.450741,0.448023
009719,0.121040,0.119186,0.448528,0.443987
009728,0.115720,0.143595,0.110204,0.222531
009729,0.115715,0.147477,0.115875,0.202197
009730,0.216949,0.225567,0.457556,0.440030
009743,0.178162,0.177003,0.402120,0.416697
011313,0.119444,0.129927,0.220005,0.239232
011320,0.132353,0.138012,0.361870,0.345893
011321,0.138673,0.169898,0.379893,0.398291
011322,0.144331,0.168369,0.395560,0.391963
011495,0.206223,0.209686,0.427272,0.427987
011715,0.136827,0.131104,0.249254,0.289337
011723,0.119304,0.126223,0.299401,0.242224
