stop_id,mean_price
F00822,0.564
F00823,0.564
F00826,0.488
F00827,
F00828,0.564
F00829,0.564
F00830,
F00831,
F00832,0.415
F00833,0.564
F00834,0.564
F00835,0.564
F00836,0.539
F00837,0.539
F00838,0.417
F00840,0.417
F00841,0.48
F00842,
F00845,0.48
F00846,0.546
F00848,0.564
F00849,0.402
F00850,0.403
F00851,0.564
F00852,0.564
F00853,0.48
F00854,0.539
F00855,0.564
F00856,0.48
F00859,0.48
F00861,0.564
F00862,0.564
F00863,0.415
F00864,0.563
F00867,0.418
F00868,0.463
F00869,0.455
F00870,0.414
F00871,0.488
F00872,0.403
F00873,0.479
F00874,0.48
F00875,0.479
F00876,0.564
F00877,0.564
F00878,0.564
F00879,0.564
F00880,0.48
F00881,0.546
F00884,
F00885,0.539
F00886,0.539
F00887,
F00888,0.417
F00889,0.563
F00890,0.415
F00891,0.563
F00892,0.415
F00893,0.564
F00894,
F00895,
F00896,0.564
F00899,0.48
F00900,0.488
F00901,0.403
F00904,0.487
F00905,
F00906,0.48
F00907,0.487
F00908,0.48
F00909,0.48
F00910,0.564
F00916,0.455
F00918,0.815
F00919,0.815
F00921,0.815
F00922,0.815
F00923,0.815
F00924,
F00925,0.839
F00926,0.759
F00929,
F00930,0.767
F00931,0.782
F00932,0.763
F00933,0.809
F00935,0.805
F00938,0.782
F00939,0.697
F00940,0.74
F00941,0.813
F00942,0.809
F00943,0.813
F00944,0.808
F00945,0.808
F00950,0.813
F00951,0.815
F00966,0.815
F00967,0.734
F00968,0.813
F00969,0.779
F00970,0.814
F00971,0.816
F00972,0.816
F00973,0.815
F00974,0.798
F00975,0.815
F00976,0.815
F00979,0.813
F00980,0.815
F00981,0.815
F00982,0.815
F00983,0.815
F00985,0.813
F00986,0.814
F00990,0.764
F00991,0.782
F01000,0.815
F01004,0.815
F01005,0.815
F01006,0.815
F01007,0.815
F01010,0.815
F01011,0.815
F01012,0.782
F01013,0.781
F01014,0.782
F01015,0.781
F01016,0.782
F01017,0.782
F01020,0.769
F01021,0.782
F01022,0.814
F01023,0.809
F01028,0.809
F01029,0.809
F01030,0.736
F01031,0.809
F01032,0.697
F01033,0.809
F01034,0.697
F01035,0.7
F01036,0.682
F01037,0.697
F01040,0.682
F01041,0.682
F01042,0.736
F01043,0.663
F01044,0.636
F01045,0.682
F01046,0.636
F01047,0.636
F01048,0.604
F01051,0.631
F01054,0.624
F01055,0.609
F01056,0.624
F01057,0.674
F01058,0.67
F01059,0.724
F01060,0.656
F01061,0.763
F01062,0.763
F01066,0.736
F01067,0.736
F01068,
F01069,0.736
F01070,0.736
F01071,0.736
F01072,0.736
F01073,0.656
F01074,
F01075,0.808
F01076,0.808
F01077,0.808
F01078,0.808
F01081,0.809
F01082,0.805
F01088,0.809
F01089,0.809
F01090,0.682
F01091,0.736
F01094,0.682
F01097,0.682
F01098,0.663
F01099,0.682
F01104,0.682
F01105,0.676
F01106,0.736
F01107,
F01109,
F01110,0.782
F01111,0.7
F01112,0.605
F01115,0.697
F01116,0.782
F01117,0.598
F01118,
F01119,0.682
F01120,0.682
F01121,0.604
F01122,0.663
F01123,
F01124,0.636
F01125,0.636
F01126,0.636
F01127,0.636
F01128,
F01129,0.636
F01130,0.604
F01131,0.636
F01134,0.604
F01135,0.636
F01136,0.636
F01137,0.656
F01138,0.601
F01139,0.604
F01140,0.604
F01141,0.604
F01142,0.604
F01143,0.598
F01144,0.604
F01145,0.604
F01146,0.603
F01149,0.604
F01150,0.604
F01151,0.604
F01159,0.601
F01160,0.595
F01161,0.782
F01162,0.598
F01163,
F01164,0.782
F01165,0.782
F01166,0.782
F01168,0.781
F01169,0.782
F01170,0.782
F01171,0.782
F01172,0.604
F01173,
F01174,0.596
F01175,0.815
F01176,0.596
F01177,0.513
F01180,0.564
F01181,0.564
F01182,0.595
F01183,0.595
F01184,0.42
F01185,
F01186,0.515
F01187,0.515
F01191,0.792
