stop_id,distance_from_largest_betweenness_centroid,distance_from_largest_betweenness_medoid,distance_from_landuse_centroid
1491124,7.056,7.038,6.297
1491125,7.05,7.032,6.28
1491152,7.244,7.226,6.346
1491126,7.293,7.276,6.685
1491127,7.276,7.258,6.642
1491122,6.793,6.776,6.15
1491123,6.776,6.758,6.136
1491199,7.021,7.002,6.046
1491138,7.608,7.597,7.948
1492137,7.68,7.669,8.011
1491159,6.383,6.369,6.718
1491160,6.377,6.364,6.721
1491111,6.514,6.501,6.806
1491112,6.582,6.569,6.822
1491143,6.619,6.607,7.19
1491144,6.623,6.612,7.193
1493161,6.162,6.148,6.457
1491135,6.333,6.318,6.379
1491109,6.769,6.755,6.827
1491110,6.793,6.778,6.842
1491113,6.653,6.641,7.121
1491171,6.583,6.571,7.039
1491128,7.224,7.208,6.833
1491129,7.253,7.237,6.851
1491107,6.819,6.804,6.716
1491108,6.823,6.808,6.664
1491155,6.846,6.83,6.626
1491156,6.864,6.848,6.555
1491157,6.9,6.884,6.668
1491169,7.035,7.02,6.734
1491170,6.993,6.978,6.71
1491147,6.909,6.892,6.451
1491148,6.883,6.866,6.438
1491158,6.798,6.781,6.386
1491168,6.798,6.781,6.354
1491101,6.612,6.594,6.055
1491102,6.554,6.536,5.984
1491103,6.746,6.729,6.24
1491104,6.722,6.705,6.186
1434170,6.101,6.082,5.485
1434171,6.062,6.043,5.372
1434173,6.197,6.178,5.624
1434174,6.185,6.167,5.584
1434176,6.038,6.019,5.405
1491150,7.005,6.988,6.475
1491163,6.46,6.449,7.285
1491164,6.447,6.437,7.268
1491121,6.776,6.766,7.542
1491161,6.702,6.692,7.453
1491162,6.692,6.682,7.462
1491119,6.982,6.971,7.571
1491120,6.999,6.988,7.575
1491115,6.868,6.856,7.324
1491117,7.106,7.095,7.562
1491118,7.081,7.07,7.525
1491116,6.773,6.761,7.226
1491139,6.659,6.648,7.32
1495157,7.401,7.391,8.041
1495104,7.922,7.911,8.317
1495105,7.942,7.931,8.37
1495102,7.788,7.778,8.344
1495103,7.794,7.784,8.348
1420121,3.807,3.797,5.594
1420122,3.812,3.801,5.6
1420125,3.768,3.759,5.808
1420126,3.784,3.775,5.811
1420103,4.108,4.094,5.266
1420104,4.01,3.996,5.176
1420113,4.035,4.021,5.256
1420114,4.049,4.035,5.241
1420120,3.491,3.484,5.878
1541139,10.762,10.739,7.918
1541140,10.731,10.708,7.894
1541143,10.488,10.464,7.714
1541144,10.472,10.449,7.701
1541145,11.109,11.086,8.195
1541146,11.098,11.075,8.184
1544102,9.926,9.903,7.429
1544103,9.924,9.902,7.425
1544100,10.194,10.171,7.607
1544101,10.182,10.159,7.596
1544155,9.968,9.945,7.528
1541141,10.169,10.145,7.342
1541142,10.176,10.152,7.344
1541137,10.304,10.28,7.579
1541138,10.282,10.259,7.55
1541193,10.373,10.349,7.35
1541195,10.333,10.309,7.349
1541196,10.339,10.315,7.33
1541601,10.355,10.331,7.336
1541602,10.355,10.331,7.336
1452119,9.007,8.981,5.557
1452601,9.025,8.999,5.603
1452602,9.025,8.999,5.603
1453107,8.949,8.923,5.467
1453134,8.953,8.927,5.518
1452139,9.268,9.243,6.157
1452140,9.259,9.234,6.152
1452170,9.199,9.174,6.146
1431135,6.005,5.978,3.097
1431136,5.965,5.938,3.106
1433103,6.146,6.122,4.204
1433104,6.175,6.151,4.182
1433106,5.949,5.926,4.387
1433105,5.939,5.916,4.385
1433118,6.528,6.504,4.179
1433119,6.495,6.47,4.178
1433127,6.376,6.351,4.062
1433128,6.35,6.325,4.043
1433183,6.342,6.317,3.977
1434114,5.187,5.167,4.885
1434190,5.204,5.185,4.944
1431186,4.781,4.762,4.689
1434185,5.468,5.45,5.2
1434186,5.472,5.454,5.211
1431102,4.926,4.906,4.684
1420117,4.472,4.455,4.912
1420118,4.419,4.401,4.87
1434101,5.061,5.042,4.682
1433108,5.74,5.719,4.765
1420136,4.53,4.512,4.811
1433107,5.832,5.81,4.601
1431180,5.695,5.672,4.274
1431104,5.365,5.344,4.549
1431106,5.415,5.393,4.559
1431107,5.378,5.357,4.528
1431108,5.44,5.418,4.479
1431139,5.42,5.399,4.476
1431140,5.447,5.425,4.377
1431183,5.427,5.405,4.548
1431185,5.437,5.416,4.541
1431187,5.354,5.333,4.599
1431188,5.45,5.428,4.531
1431189,5.458,5.436,4.517
1431601,5.412,5.391,4.523
1431602,5.412,5.391,4.523
1431133,5.879,5.853,3.342
1431134,5.878,5.852,3.355
1432152,6.954,6.933,5.345
1432155,6.884,6.862,5.306
1432151,6.588,6.567,5.165
1432157,6.651,6.63,5.099
1432158,6.644,6.623,5.104
1432112,6.711,6.689,4.924
1432159,6.769,6.746,4.942
1432160,6.713,6.69,4.954
1433156,6.271,6.25,5.083
1433173,6.283,6.262,5.092
1432154,6.568,6.545,4.865
1432161,6.983,6.959,4.849
1432162,6.971,6.948,4.855
1432116,6.501,6.479,4.925
1440103,6.761,6.741,5.597
1440104,6.756,6.736,5.585
1440105,7.029,7.008,5.723
1440106,6.975,6.954,5.691
1432110,7.227,7.205,5.439
